"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 21 16:04:46 GMT 2024","Thu Nov 21 16:04:46 GMT 2024","33","","","","","","CheckboxWithLabel changes the text after click",""
"passed","Thu Nov 21 16:04:13 GMT 2024","Thu Nov 21 16:04:13 GMT 2024","2","API","OtherTests","testThisThing","com.example.project.OtherTests","testThisThing","testThisThing()",""
"skipped","Thu Nov 21 16:04:13 GMT 2024","Thu Nov 21 16:04:13 GMT 2024","1","","com.example.project.SecondTest","","com.example.project.SecondTest","mySecondTest","mySecondTest()",""
"passed","Thu Nov 21 16:04:13 GMT 2024","Thu Nov 21 16:04:13 GMT 2024","4","API","OtherTests","testThisOtherThing","com.example.project.OtherTests","testThisOtherThing","testThisOtherThing()",""
"passed","Thu Nov 21 16:04:14 GMT 2024","Thu Nov 21 16:04:14 GMT 2024","5","API","JUnit4Test","test","com.example.project.JUnit4Test","test","test",""
"passed","Thu Nov 21 16:04:12 GMT 2024","Thu Nov 21 16:04:13 GMT 2024","1023","API","mySecondTest","aSlowTest","com.example.project.SecondTest","aSlowTest","aSlowTest()",""
"passed","Thu Nov 21 16:04:13 GMT 2024","Thu Nov 21 16:04:13 GMT 2024","25","API","","","com.example.project.FirstTest","myFirstTest","My 1st JUnit 5 test! 😎",""
