"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 21 21:11:49 GMT 2024","Thu Nov 21 21:11:49 GMT 2024","4","API","OtherTests","testThisThing","com.example.project.OtherTests","testThisThing","testThisThing()",""
"passed","Thu Nov 21 21:11:49 GMT 2024","Thu Nov 21 21:11:49 GMT 2024","18","API","","","com.example.project.FirstTest","myFirstTest","My 1st JUnit 5 test! 😎",""
"passed","Thu Nov 21 21:11:49 GMT 2024","Thu Nov 21 21:11:49 GMT 2024","5","API","OtherTests","testThisOtherThing","com.example.project.OtherTests","testThisOtherThing","testThisOtherThing()",""
"skipped","Thu Nov 21 21:11:49 GMT 2024","Thu Nov 21 21:11:49 GMT 2024","0","","com.example.project.SecondTest","","com.example.project.SecondTest","mySecondTest","mySecondTest()",""
"passed","Thu Nov 21 21:11:49 GMT 2024","Thu Nov 21 21:11:49 GMT 2024","9","API","JUnit4Test","test","com.example.project.JUnit4Test","test","test",""
"passed","Thu Nov 21 21:11:48 GMT 2024","Thu Nov 21 21:11:49 GMT 2024","1028","API","mySecondTest","aSlowTest","com.example.project.SecondTest","aSlowTest","aSlowTest()",""
"passed","Thu Nov 21 21:12:23 GMT 2024","Thu Nov 21 21:12:23 GMT 2024","33","","","","","","CheckboxWithLabel changes the text after click",""
