"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 21 21:14:31 GMT 2024","Thu Nov 21 21:14:31 GMT 2024","3","API","JUnit4Test","test","com.example.project.JUnit4Test","test","test",""
"skipped","Thu Nov 21 21:14:31 GMT 2024","Thu Nov 21 21:14:31 GMT 2024","0","","com.example.project.SecondTest","","com.example.project.SecondTest","mySecondTest","mySecondTest()",""
"passed","Thu Nov 21 21:14:31 GMT 2024","Thu Nov 21 21:14:31 GMT 2024","2","API","OtherTests","testThisOtherThing","com.example.project.OtherTests","testThisOtherThing","testThisOtherThing()",""
"passed","Thu Nov 21 21:14:31 GMT 2024","Thu Nov 21 21:14:31 GMT 2024","1","API","OtherTests","testThisThing","com.example.project.OtherTests","testThisThing","testThisThing()",""
"passed","Thu Nov 21 21:15:10 GMT 2024","Thu Nov 21 21:15:11 GMT 2024","33","","","","","","CheckboxWithLabel changes the text after click",""
"passed","Thu Nov 21 21:14:31 GMT 2024","Thu Nov 21 21:14:31 GMT 2024","23","API","","","com.example.project.FirstTest","myFirstTest","My 1st JUnit 5 test! 😎",""
"passed","Thu Nov 21 21:14:30 GMT 2024","Thu Nov 21 21:14:31 GMT 2024","1027","API","mySecondTest","aSlowTest","com.example.project.SecondTest","aSlowTest","aSlowTest()",""
