"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 21 17:29:55 GMT 2024","Thu Nov 21 17:29:55 GMT 2024","1","API","OtherTests","testThisThing","com.example.project.OtherTests","testThisThing","testThisThing()",""
"passed","Thu Nov 21 17:30:27 GMT 2024","Thu Nov 21 17:30:27 GMT 2024","30","","","","","","CheckboxWithLabel changes the text after click",""
"passed","Thu Nov 21 17:29:55 GMT 2024","Thu Nov 21 17:29:55 GMT 2024","1","API","OtherTests","testThisOtherThing","com.example.project.OtherTests","testThisOtherThing","testThisOtherThing()",""
"skipped","Thu Nov 21 17:29:55 GMT 2024","Thu Nov 21 17:29:55 GMT 2024","0","","com.example.project.SecondTest","","com.example.project.SecondTest","mySecondTest","mySecondTest()",""
"passed","Thu Nov 21 17:29:55 GMT 2024","Thu Nov 21 17:29:55 GMT 2024","5","API","JUnit4Test","test","com.example.project.JUnit4Test","test","test",""
"passed","Thu Nov 21 17:29:55 GMT 2024","Thu Nov 21 17:29:55 GMT 2024","22","API","","","com.example.project.FirstTest","myFirstTest","My 1st JUnit 5 test! 😎",""
"passed","Thu Nov 21 17:29:54 GMT 2024","Thu Nov 21 17:29:55 GMT 2024","1025","API","mySecondTest","aSlowTest","com.example.project.SecondTest","aSlowTest","aSlowTest()",""
